FIPS_Code,State,Area_Name,Rural_Urban_Continuum_Code_2013,Urban_Influence_Code_2013,Metro_2013,Civilian_labor_force_2000,Employed_2000,Unemployed_2000,Unemployment_rate_2000,Civilian_labor_force_2001,Employed_2001,Unemployed_2001,Unemployment_rate_2001,Civilian_labor_force_2002,Employed_2002,Unemployed_2002,Unemployment_rate_2002,Civilian_labor_force_2003,Employed_2003,Unemployed_2003,Unemployment_rate_2003,Civilian_labor_force_2004,Employed_2004,Unemployed_2004,Unemployment_rate_2004,Civilian_labor_force_2005,Employed_2005,Unemployed_2005,Unemployment_rate_2005,Civilian_labor_force_2006,Employed_2006,Unemployed_2006,Unemployment_rate_2006,Civilian_labor_force_2007,Employed_2007,Unemployed_2007,Unemployment_rate_2007,Civilian_labor_force_2008,Employed_2008,Unemployed_2008,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009,Civilian_labor_force_2010,Employed_2010,Unemployed_2010,Unemployment_rate_2010,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Civilian_labor_force_2012,Employed_2012,Unemployed_2012,Unemployment_rate_2012,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Civilian_labor_force_2021,Employed_2021,Unemployed_2021,Unemployment_rate_2021,Civilian_labor_force_2022,Employed_2022,Unemployed_2022,Unemployment_rate_2022,Median_Household_Income_2021,Med_HH_Income_Percent_of_State_Total_2021
00000,US,United States,,,,142601576,136904853,5696723,4,143786537,136977996,6808541,4.7,144839298,136455783,8383515,5.800000000000001,145660094,136944522,8715572,6,146724795,138613904,8110891,5.5,148597241,141000912,7596329,5.100000000000001,150707773,143729350,6978423,4.600000000000001,152191050,145156133,7034917,4.600000000000001,153761037,144860349,8900688,5.800000000000001,153825454,139594699,14230755,9.3,154254521,139393814,14860707,9.600000000000001,154520678,140688861,13831817,9,155038121,142527201,12510920,8.1,155362278,143905037,11457241,7.4,155936159,146318952,9617207,6.2,156840649,148554918,8285731,5.300000000000001,158674951,150949349,7725602,4.9,160744592,153744181,7000411,4.4,162039448,155727509,6311939,3.9,163815888,157805898,6009990,3.7,161483724,148453335,13030389,8.1,162229903,153544980,8684923,5.4,164781642,158766998,6014644,3.7,69717,
01000,AL,Alabama,,,,2147173,2047731,99442,4.600000000000001,2128027,2017467,110560,5.2,2112621,1987633,124988,5.9,2128668,2001568,127100,6,2138306,2018783,119523,5.600000000000001,2140356,2045234,95122,4.4,2170007,2083207,86800,4,2180448,2092030,88418,4.100000000000001,2176854,2049579,127275,5.800000000000001,2156593,1938784,217809,10.1,2197028,1968824,228204,10.4,2202337,1991379,210958,9.600000000000001,2178508,2000848,177660,8.200000000000001,2172102,2012828,159274,7.300000000000001,2164715,2018705,146010,6.7,2152295,2020443,131852,6.100000000000001,2155729,2029157,126572,5.9,2203458,2103873,99585,4.5,2240109,2152270,87839,3.9,2272935,2200437,72498,3.2,2269672,2124409,145263,6.4,2259349,2183330,76019,3.4,2286028,2226670,59358,2.6,53990,100
01001,AL,"Autauga County, AL",2,2,1,21861,20971,890,4.100000000000001,22081,21166,915,4.100000000000001,22161,21096,1065,4.800000000000001,22695,21557,1138,5,23241,22146,1095,4.7,23887,22986,901,3.8,24425,23619,806,3.3,24434,23610,824,3.4,24687,23376,1311,5.300000000000001,24660,22464,2196,8.9,25749,23481,2268,8.8,25845,23688,2157,8.3,25762,23932,1830,7.100000000000001,25783,24155,1628,6.300000000000001,25639,24150,1489,5.800000000000001,25541,24206,1335,5.2,25710,24395,1315,5.100000000000001,26269,25224,1045,4,26471,25515,956,3.6,26696,25927,769,2.9,26425,25023,1402,5.300000000000001,26545,25809,736,2.8,26789,26181,608,2.3,66444,123.1
01003,AL,"Baldwin County, AL",3,2,1,69979,67370,2609,3.7,69569,66545,3024,4.3,69379,65881,3498,5,72598,69010,3588,4.9,74843,71061,3782,5.100000000000001,76608,73581,3027,4,79806,77263,2543,3.2,82829,80213,2616,3.2,83205,79222,3983,4.800000000000001,82314,74950,7364,8.9,83551,75283,8268,9.9,85077,77459,7618,9,84507,77973,6534,7.7,85206,79466,5740,6.7,86546,81265,5281,6.100000000000001,87493,82619,4874,5.600000000000001,89778,84972,4806,5.4,93152,89286,3866,4.2,96235,92734,3501,3.6,98965,96069,2896,2.9,98979,92893,6086,6.100000000000001,99953,97034,2919,2.9,102849,100432,2417,2.4,65658,121.6
01005,AL,"Barbour County, AL",6,6,0,11449,10812,637,5.600000000000001,11324,10468,856,7.600000000000001,11006,10154,852,7.7,11019,10241,778,7.100000000000001,10639,9884,755,7.100000000000001,10730,10114,616,5.7,10713,10110,603,5.600000000000001,10363,9698,665,6.4,10175,9249,926,9.1,9944,8635,1309,13.2,10219,8978,1241,12.1,9843,8716,1127,11.4,9377,8273,1104,11.8,9096,8152,944,10.4,8859,7930,929,10.5,8590,7823,767,8.9,8334,7638,696,8.4,8415,7914,501,6,8505,8068,437,5.100000000000001,8641,8294,347,4,8684,8017,667,7.7,8280,7821,459,5.5,8241,7906,335,4.100000000000001,38649,71.60000000000001
01007,AL,"Bibb County, AL",1,1,1,8623,8160,463,5.4,9134,8513,621,6.800000000000001,8961,8333,628,7,8871,8346,525,5.9,8851,8375,476,5.4,8837,8444,393,4.4,8858,8489,369,4.2,8810,8443,367,4.2,8751,8225,526,6,8696,7637,1059,12.2,8936,7931,1005,11.2,8932,8000,932,10.4,8808,8037,771,8.8,8699,8000,699,8,8573,7959,614,7.2,8552,7983,569,6.7,8539,7986,553,6.5,8648,8261,387,4.5,8697,8351,346,4,8777,8491,286,3.3,8717,8085,632,7.300000000000001,8641,8347,294,3.4,8726,8507,219,2.5,48454,89.7
01009,AL,"Blount County, AL",1,1,1,25266,24375,891,3.5,25450,24521,929,3.7,25836,24436,1400,5.4,26008,24812,1196,4.600000000000001,26237,25149,1088,4.100000000000001,26378,25434,944,3.6,26799,25939,860,3.2,26683,25816,867,3.2,26693,25405,1288,4.800000000000001,26426,24005,2421,9.200000000000001,24928,22509,2419,9.700000000000001,25124,22951,2173,8.6,24978,23216,1762,7.100000000000001,24860,23277,1583,6.4,24571,23074,1497,6.100000000000001,24416,23089,1327,5.4,24380,23061,1319,5.4,25009,23979,1030,4.100000000000001,25333,24445,888,3.5,25592,24867,725,2.8,25136,24010,1126,4.5,25377,24779,598,2.4,25796,25222,574,2.2,56894,105.4
01011,AL,"Bullock County, AL",6,6,0,3997,3656,341,8.5,3937,3543,394,10,3890,3493,397,10.2,3992,3556,436,10.9,3879,3437,442,11.4,3734,3383,351,9.4,3703,3377,326,8.8,3666,3313,353,9.600000000000001,3641,3244,397,10.9,3713,3179,534,14.4,4941,4365,576,11.7,4829,4274,555,11.5,4742,4240,502,10.6,4774,4322,452,9.5,4738,4323,415,8.8,4765,4385,380,8,4785,4457,328,6.9,4890,4644,246,5,4843,4617,226,4.7,4864,4674,190,3.9,4880,4589,291,6,4637,4455,182,3.9,4554,4426,128,2.8,32027,59.3
01013,AL,"Butler County, AL",6,6,0,9221,8496,725,7.9,9060,8372,688,7.600000000000001,9172,8448,724,7.9,9218,8423,795,8.6,9090,8240,850,9.4,9113,8528,585,6.4,9247,8722,525,5.7,9124,8551,573,6.300000000000001,9063,8263,800,8.8,9033,7671,1362,15.1,9252,8015,1237,13.4,9180,8046,1134,12.4,9103,8029,1074,11.8,9144,8189,955,10.4,9285,8496,789,8.5,9113,8417,696,7.600000000000001,9116,8484,632,6.9,9046,8536,510,5.600000000000001,9069,8639,430,4.7,9321,8958,363,3.9,9238,8357,881,9.5,8819,8367,452,5.100000000000001,8804,8503,301,3.4,39442,73.10000000000001
01015,AL,"Calhoun County, AL",3,2,1,53244,50522,2722,5.100000000000001,51889,49001,2888,5.600000000000001,52111,48991,3120,6,53026,49892,3134,5.9,54074,51164,2910,5.4,53812,51409,2403,4.5,54118,51946,2172,4,54983,52782,2201,4,54574,51371,3203,5.9,53760,48278,5482,10.2,51577,45798,5779,11.2,51271,45986,5285,10.3,49717,45196,4521,9.1,48381,44068,4313,8.9,47321,43562,3759,7.9,45808,42566,3242,7.100000000000001,45450,42470,2980,6.600000000000001,46304,43960,2344,5.100000000000001,46800,44636,2164,4.600000000000001,46828,45076,1752,3.7,47047,43434,3613,7.7,46368,44497,1871,4,46140,44741,1399,3,48166,89.2
